benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassInstanceMethodEqualsSpan_lower	1	0.436	0.436	0.436	0.436	0.436
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedModuleSpan_lower	1	0.356	0.356	0.356	0.356	0.356
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedExportFunctorSpan_lower	1	0.380	0.380	0.380	0.380	0.380
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedExportHigherSpan_lower	1	0.391	0.391	0.391	0.391	0.391
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedClassSpan_lower	1	0.370	0.370	0.370	0.370	0.370
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedMapSignatureSpan_lower	1	0.346	0.346	0.346	0.346	0.346
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedDataSpan_lower	1	0.378	0.378	0.378	0.378	0.378
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_higherKindedWrapConstructorSpan_lower	1	0.363	0.363	0.363	0.363	0.363
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamModuleSpan_lower	1	0.329	0.329	0.329	0.329	0.329
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamExportMonadSpan_lower	1	0.375	0.375	0.375	0.375	0.375
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamClassSpan_lower	1	0.494	0.494	0.494	0.494	0.494
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamSuperclassFunctorSpan_lower	1	0.341	0.341	0.341	0.341	0.341
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamBindSignatureSpan_lower	1	0.327	0.327	0.327	0.327	0.327
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamInstanceClassNameSpan_lower	1	0.365	0.365	0.365	0.365	0.365
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_multiparamFundepArrowSpan_lower	1	0.356	0.356	0.356	0.356	0.356
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyKindLambdaModuleSpan_lower	1	0.335	0.335	0.335	0.335	0.335
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyKindLambdaDeclSpan_lower	1	0.390	0.390	0.390	0.390	0.390
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyApplyAnnotationModuleSpan_lower	1	0.372	0.372	0.372	0.372	0.372
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyApplyAnnotationExportMainSpan_lower	1	0.402	0.402	0.402	0.402	0.402
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyApplyAnnotationDeclSpan_lower	1	0.384	0.384	0.384	0.384	0.384
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyApplyAnnotationDefMainSpan_lower	1	0.473	0.473	0.473	0.473	0.473
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeFamilyEquationEqualsSpan_lower	1	0.392	0.392	0.392	0.392	0.392
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtModuleSpan_lower	1	0.335	0.335	0.335	0.335	0.335
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtExportNatSpan_lower	1	0.291	0.291	0.291	0.291	0.291
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtExportExprSpan_lower	1	0.323	0.323	0.323	0.323	0.323
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtExportDoneNowSpan_lower	1	0.402	0.402	0.402	0.402	0.402
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtExportMainSpan_lower	1	0.349	0.349	0.349	0.349	0.349
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtNatDataSpan_lower	1	0.340	0.340	0.340	0.340	0.340
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_recursiveGadtZeroConstructorSpan_lower	1	0.395	0.395	0.395	0.395	0.395
